report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,region,area,row_type,n,hunters_afield,male_harvest,female_harvest,unknown_harvest,total_harvest,mean_days_afield,percent_success,permits_sold,hunt_code,hunt_name,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use,year,total_hunters,total_permits,mean_public_days_afield,mean_private_days_afield,turkeys_per_hunter_day,county
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,16,74,,,,28,,37.5,,,Sanpete,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.3,0.6,,Sanpete
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,12,56,,,,19,,33.3,,,Tooele,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.9,0.2,,Tooele
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,40,186,,,,37,,20.0,,,Utah,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.6,0.5,,Utah
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,16,74,,,,23,,31.3,,,Wasatch,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.7,,Wasatch
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,regional_total,101,469,,,,121,,25.8,,,Central Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.4,,Central Region total
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,10,46,,,,14,,30.0,,,Beaver,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.5,0.5,,Beaver
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,3,14,,,,9,,66.7,,,Garfield,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.0,,Garfield
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,10,46,,,,9,,20.0,,,Iron,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.0,0.2,,Iron
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,3,14,,,,14,,100.0,,,Kane,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.0,1.3,,Kane
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,9,42,,,,23,,55.6,,,Millard,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.4,0.0,,Millard
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,1,5,,,,0,,0.0,,,Piute,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.0,0.0,,Piute
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,14,65,,,,9,,14.3,,,Sevier,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.1,0.1,,Sevier
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,18,84,,,,33,,38.9,,,Washington,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.8,,Washington
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,3,14,,,,5,,33.3,,,Wayne,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.3,0.7,,Wayne
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,regional_total,71,330,,,,116,,35.2,,,Southern Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.9,0.4,,Southern Region total
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northeastern,,county,2,9,,,,0,,0.0,,,Daggett,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.5,0.0,,Daggett
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northeastern,,county,20,93,,,,19,,20.0,,,Duchesne,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.2,1.3,,Duchesne
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northeastern,,county,20,93,,,,42,,45.0,,,Uintah,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.4,1.5,,Uintah
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northeastern,,regional_total,42,195,,,,61,,31.3,,,Northeastern Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.3,1.3,,Northeastern Region total
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,,county,0,0,,,,,,,,,Carbon,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,Carbon
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,,county,6,28,,,,14,,50.0,,,Emery,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,0.8,1.8,,Emery
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,,county,2,9,,,,5,,50.0,,,Grand,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.5,1.0,,Grand
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,,county,5,23,,,,14,,60.0,,,San Juan,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.8,1.2,,San Juan
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,,regional_total,13,60,,,,33,,55.0,,,Southeastern Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.5,1.5,,Southeastern Region total
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,,county,5,23,,,,0,,0.0,,,Unknown,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.9,0.6,,Unknown
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Statewide,,statewide_total,483,1250,,,,376,,30.1,,,Statewide total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.8,0.8,,Statewide total
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,,county,69,322,,,,51,,15.9,,,Box Elder,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.9,1.6,,Box Elder
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,,county,143,668,,,,168,,25.2,,,Cache,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.6,1.1,,Cache
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,,county,54,252,,,,28,,11.1,,,Davis,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.1,0.7,,Davis
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,,county,60,280,,,,98,,35.0,,,Morgan,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.9,1.5,,Morgan
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,,county,1,5,,,,0,,0.0,,,Rich,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.0,0.0,,Rich
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,,county,29,135,,,,56,,41.4,,,Summit,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.5,1.2,,Summit
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,,county,149,696,,,,149,,21.5,,,Weber,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.8,0.7,,Weber
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,,regional_total,505,2358,,,,550,,23.3,,,Northern Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.3,1.1,,Northern Region total
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,,county,86,402,,,,56,,14.0,,,Juab,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.8,0.5,,Juab
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,,county,48,224,,,,42,,18.8,,,Salt Lake,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.2,0.4,,Salt Lake
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,,county,123,575,,,,187,,32.5,,,Sanpete,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.5,1.2,,Sanpete
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,,county,110,514,,,,135,,26.4,,,Tooele,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.3,0.2,,Tooele
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,,county,344,1607,,,,355,,22.1,,,Utah,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.9,0.3,,Utah
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,,county,89,416,,,,98,,23.6,,,Wasatch,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.4,0.6,,Wasatch
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,,regional_total,800,3738,,,,873,,23.4,,,Central Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.8,0.5,,Central Region total
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,57,266,,,,56,,21.1,,,Beaver,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.9,0.4,,Beaver
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,44,206,,,,70,,34.1,,,Garfield,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.3,0.2,,Garfield
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,119,556,,,,149,,26.9,,,Iron,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.1,0.7,,Iron
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,44,206,,,,70,,34.1,,,Kane,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.4,1.3,,Kane
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,74,346,,,,93,,27.0,,,Millard,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.4,0.4,,Millard
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,15,70,,,,5,,6.7,,,Piute,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.3,0.5,,Piute
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,94,439,,,,131,,29.8,,,Sevier,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.6,0.6,,Sevier
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,126,589,,,,145,,24.6,,,Washington,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.9,1.1,,Washington
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,county,29,135,,,,47,,34.5,,,Wayne,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.6,0.3,,Wayne
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,,regional_total,602,2813,,,,766,,27.2,,,Southern Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.6,0.7,,Southern Region total
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northeastern,,county,11,51,,,,5,,9.1,,,Daggett,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.2,0.0,,Daggett
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northeastern,,county,116,542,,,,192,,35.3,,,Duchesne,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.3,2.2,,Duchesne
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northeastern,,county,108,505,,,,192,,38.0,,,Uintah,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.2,2.0,,Uintah
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northeastern,,regional_total,235,1098,,,,389,,35.4,,,Northeastern Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.7,2.0,,Northeastern Region total
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,,county,21,98,,,,14,,14.3,,,Carbon,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.8,0.4,,Carbon
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,,county,40,187,,,,93,,50.0,,,Emery,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.9,1.5,,Emery
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,,county,28,131,,,,37,,28.6,,,Grand,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.1,0.1,,Grand
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,,county,83,388,,,,149,,38.6,,,San Juan,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.0,0.6,,San Juan
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,,regional_total,172,804,,,,293,,36.4,,,Southeastern Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,4.1,0.7,,Southeastern Region total
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,,county,27,126,,,,47,,37.0,,,Unknown,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.7,0.8,,Unknown
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Statewide,,statewide_total,2443,9428,,,,2920,,31.0,,,Statewide total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,3.9,0.9,,Statewide total
2024-25,2010,2010,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,1363,,16.4,10118,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2010,8301,,,,,
2024-25,2011,2011,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,1136,,20.1,6528,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2011,5662,,,,,
2024-25,2012,2012,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,953,,21.1,5275,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2012,4506,,,,,
2024-25,2013,2013,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,1241,,21.4,6588,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2013,5788,,,,,
2024-25,2014,2014,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,1759,,26.1,7812,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2014,6734,,,,,
2024-25,2015,2015,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,2017,,27.6,8514,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2015,7314,,,,,
2024-25,2016,2016,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,1978,,26.3,8586,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2016,7522,,,,,
2024-25,2017,2017,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,1686,,23.8,8542,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2017,7075,,,,,
2024-25,2018,2018,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,2027,,24.8,9654,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2018,8157,,,,,
2024-25,2019,2019,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,2209,,25.6,9969,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2019,8619,,,,,
2024-25,2020,2020,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,2955,,27.9,12443,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2020,10589,,,,,
2024-25,2021,2021,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,2035,,21.3,11668,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2021,9539,,,,,
2024-25,2022,2022,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,1923,,22.6,10310,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2022,8493,,,,,
2024-25,2023,2023,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,1881,,22.8,10067,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2023,8249,,,,,
2024-25,2024,2024,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,2632,,28.2,11192,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2024,9321,,,,,
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,,,,,,,,,3296,,30.9,11789,,,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2025,10678,,,,,
