folder,old_name,new_name,status,error
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_ANTLERLESS_DEER_formatted.xlsx,2026 DEER ANTLERLESS DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_antlerless_elk_general_season.xlsx,2026 ELK ANTLERLESS GENERAL SEASON.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_BISON_COW.xlsx,2026 BISON COW O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_BISON_HUNTER_CHOICE.xlsx,2026 BISON HUNTER CHOICE O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_BLACK_BEAR.xlsx,2026 BLACK BEAR DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_cougar.xlsx,2026 COUGAR DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_DEER_ANTLERLESS.xlsx,2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_antlerless_cwmu.xlsx,2026 DEER ANTLERLESS CWMU.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_DEER_ARCHERY_EXTENDED.xlsx,2026 DEER BUCK EXTENDED ARCHERY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_DEER_BUCK.xlsx,2026 DEER BUCK DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_cactus.xlsx,2026 DEER BUCK CACTUS BUCK.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_conservation.xlsx,2026 DEER BUCK CONSERVATION PERMIT.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_cwmu.xlsx,2026 DEER BUCK CWMU.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_limited_entry.xlsx,2026 DEER BUCK L.E.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_limited_entry_management_buck.xlsx,2026 DEER BUCK L.E MANAGEMENT BUCK.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_limited_entry_private_lands_only.xlsx,2026 DEER BUCK L.E PRIVATE LANDS ONLY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_premium_limited_entry.xlsx,2026 DEER BUCK P.L.E.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_statewide.xlsx,2026 DEER BUCK STATEWIDE.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_general_season.xlsx,2026 DEER BUCK GENERAL SEASON.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_general_season_private_lands.xlsx,2026 DEER BUCK GENERAL SEASON PRIVATE LANDS.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_hunter_choice.xlsx,2026 DEER HUNTER CHOICE.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_desert_bighorn_ram.xlsx,2026 DESERT BIGHORN SHEEP RAM O.I.L EXPANDED.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_ELK_ANTLERLESS.xlsx,2026 ELK ANTLERLESS DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_antlerless_conservation.xlsx,2026 ELK ANTLERLESS CONSERVATION PERMIT.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_antlerless_CWMU.xlsx,2026 ELK ANTLERLESS CWMU.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_antlerless_privatelandsonly.xlsx,2026 ELK ANTLERLESS PRIVATE LANDS ONLY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_archery_extended.xlsx,2026 ELK BULL EXTENDED ARCHERY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_all 2.xlsx,2026 ELK BULL ALL HUNTS EXPANDED.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_ELK_BULL_ALL.xlsx,2026 ELK BULL ALL HUNTS SUMMARY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_conservation_permit.xlsx,2026 ELK BULL CONSERVATION PERMIT.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_cwmu.xlsx,2026 ELK BULL CWMU.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_general_anybull.xlsx,2026 ELK BULL GENERAL ANY BULL.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_limited_entry.xlsx,2026 ELK BULL L.E.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_general_anybull_youth.xlsx,2026 ELK BULL YOUTH GENERAL ANY BULL.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_general_archery.xlsx,2026 ELK BULL GENERAL ARCHERY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_general_spikeonly.xlsx,2026 ELK BULL GENERAL SPIKE ONLY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_limitedentry_maturebull.xlsx,2026 ELK BULL L.E MATURE BULL.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_limitedentry_maturebull_privatelands.xlsx,2026 ELK BULL L.E MATURE BULL PRIVATE LANDS.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_limitedentry_statewide.xlsx,2026 ELK BULL STATEWIDE.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_goat_hunter_choice .xlsx,2026 MOUNTAIN GOAT HUNTER CHOICE O.I.L EXPANDED.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_GOAT_HUNTER_CHOICE.xlsx,2026 MOUNTAIN GOAT HUNTER CHOICE O.I.L SUMMARY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_MOOSE_BULL.xlsx,2026 MOOSE BULL O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_moose_cow.xlsx,2026 MOOSE COW O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_SHEEP_DESERT_RAM.xlsx,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_SHEEP_ROCKY_MOUNTAIN_EWE.xlsx,2026 ROCKY MOUNTAIN BIGHORN SHEEP EWE O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_SHEEP_ROCKY_MOUNTAIN_RAM.xlsx,2026 ROCKY MOUNTAIN BIGHORN SHEEP RAM O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_TURKEY_BEARDED.xlsx,2026 TURKEY BEARDED DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_TURKEY_EITHER_SEX.xlsx,2026 TURKEY EITHER SEX DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026 BISON COW.pdf,2026 BISON COW O.I.L.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026 BISON HUNTER CHOICE.pdf,2026 BISON HUNTER CHOICE O.I.L.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026 DEER ANTLERLESS.pdf,2026 DEER ANTLERLESS DRAW.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026 ELK ANTLERLESS GENERAL SEASON.pdf,2026 ELK ANTLERLESS GENERAL SEASON.pdf,UNCHANGED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_BLACK_BEAR.pdf,2026 BLACK BEAR DRAW.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_cougar.pdf,2026 COUGAR DRAW.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_DEER_ANTLERLESS.pdf,2026 DEER ANTLERLESS DRAW SUMMARY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_antlerless_cwmu.pdf,2026 DEER ANTLERLESS CWMU.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_DEER_ARCHERY_EXTENDED.pdf,2026 DEER BUCK EXTENDED ARCHERY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_DEER_BUCK.pdf,2026 DEER BUCK DRAW.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_buck_cactus.pdf,2026 DEER BUCK CACTUS BUCK.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_buck_conservation.pdf,2026 DEER BUCK CONSERVATION PERMIT.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_buck_cwmu.pdf,2026 DEER BUCK CWMU.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_buck_limited_entry.pdf,2026 DEER BUCK L.E.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_buck_limited_entry_management_buck.pdf,2026 DEER BUCK L.E MANAGEMENT BUCK.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_buck_limited_entry_private_lands_only.pdf,2026 DEER BUCK L.E PRIVATE LANDS ONLY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_buck_premium_limited_entry.pdf,2026 DEER BUCK P.L.E.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_buck_statewide.pdf,2026 DEER BUCK STATEWIDE.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_general_season.pdf,2026 DEER BUCK GENERAL SEASON.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_general_season_private_lands.pdf,2026 DEER BUCK GENERAL SEASON PRIVATE LANDS.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_deer_hunter_choice.pdf,2026 DEER HUNTER CHOICE.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_desert_bighorn_ram.pdf,2026 DESERT BIGHORN SHEEP RAM O.I.L EXPANDED.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_ELK_ANTLERLESS.pdf,2026 ELK ANTLERLESS DRAW.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_antlerless_conservation.pdf,2026 ELK ANTLERLESS CONSERVATION PERMIT.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_antlerless_CWMU.pdf,2026 ELK ANTLERLESS CWMU.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_antlerless_privatelandsonly.pdf,2026 ELK ANTLERLESS PRIVATE LANDS ONLY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_archery_extended.pdf,2026 ELK BULL EXTENDED ARCHERY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_bull_all 2.pdf,2026 ELK BULL ALL HUNTS EXPANDED.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_ELK_BULL_ALL.pdf,2026 ELK BULL ALL HUNTS SUMMARY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_bull_conservation_permit.pdf,2026 ELK BULL CONSERVATION PERMIT.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_bull_cwmu.pdf,2026 ELK BULL CWMU.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_bull_general_anybull.pdf,2026 ELK BULL GENERAL ANY BULL.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_bull_limited_entry.pdf,2026 ELK BULL L.E.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_general_anybull_youth.pdf,2026 ELK BULL YOUTH GENERAL ANY BULL.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_general_archery.pdf,2026 ELK BULL GENERAL ARCHERY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_general_spikeonly.pdf,2026 ELK BULL GENERAL SPIKE ONLY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_limitedentry_maturebull.pdf,2026 ELK BULL L.E MATURE BULL.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_limitedentry_maturebull_privatelands.pdf,2026 ELK BULL L.E MATURE BULL PRIVATE LANDS.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_elk_limitedentry_statewide.pdf,2026 ELK BULL STATEWIDE.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_goat_hunter_choice .pdf,2026 MOUNTAIN GOAT HUNTER CHOICE O.I.L EXPANDED.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_GOAT_HUNTER_CHOICE.pdf,2026 MOUNTAIN GOAT HUNTER CHOICE O.I.L SUMMARY.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_MOOSE_BULL.pdf,2026 MOOSE BULL O.I.L.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_moose_cow.pdf,2026 MOOSE COW O.I.L.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_SHEEP_DESERT_RAM.pdf,2026 DESERT BIGHORN SHEEP RAM O.I.L.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_SHEEP_ROCKY_MOUNTAIN_EWE.pdf,2026 ROCKY MOUNTAIN BIGHORN SHEEP EWE O.I.L.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_SHEEP_ROCKY_MOUNTAIN_RAM.pdf,2026 ROCKY MOUNTAIN BIGHORN SHEEP RAM O.I.L.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_TURKEY_BEARDED.pdf,2026 TURKEY BEARDED DRAW.pdf,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/PDF'S,2026_TURKEY_EITHER_SEX.pdf,2026 TURKEY EITHER SEX DRAW.pdf,RENAMED,
