guidebook_code,guidebook_prefix,guidebook_species_inferred,guidebook_hunt_name_candidate,guidebook_page,guidebook_line
EB3192,EB,Elk,Fishlake/Thousand Lakes,51,Fishlake/Thousand Lakes EB3192 Nov. 29-Dec. 14
EB3182,EB,Elk,"La Sal, La Sal Mtns",51,"La Sal, La Sal Mtns EB3182 Nov. 29-Dec. 14"
EB3172,EB,Elk,Manti,51,Manti EB3172 Nov. 29-Dec. 14
EB3184,EB,Elk,Monroe,51,Monroe EB3184 Nov. 29-Dec. 14
EB3186,EB,Elk,Mt Dutton,51,Mt Dutton EB3186 Nov. 29-Dec. 14
EB3174,EB,Elk,Nebo/San Pitch Mtns,51,Nebo/San Pitch Mtns EB3174 Nov. 29-Dec. 14
EB3188,EB,Elk,Panguitch Lake,51,Panguitch Lake EB3188 Nov. 29-Dec. 14
EB3193,EB,Elk,San Juan Bull Elk,51,San Juan Bull Elk EB3193 Nov. 29-Dec. 14
EB3197,EB,Elk,"Southwest Desert, South",51,"Southwest Desert, South EB3197 Nov. 29-Dec. 14"
EB3199,EB,Elk,Wasatch Mtns,51,Wasatch Mtns EB3199 Nov. 29-Dec. 14
EB3024,EB,Elk,"Beaver, East",52,"Beaver, East EB3024 Sept. 17-Sept. 21"
EB3162,EB,Elk,"Book Cliffs, Bitter Creek/East",52,"Book Cliffs, Bitter Creek/East EB3162 Sept. 17-Sept. 21"
EB3028,EB,Elk,"Book Cliffs, Little Creek Roadless",52,"Book Cliffs, Little Creek Roadless EB3028 Sept. 17-Sept. 21"
EB3148,EB,Elk,Boulder,52,Boulder EB3148 Sept. 17-Sept. 21
EB3147,EB,Elk,"Box Elder, Grouse Creek",52,"Box Elder, Grouse Creek EB3147 Sept. 17-Sept. 21"
EB3031,EB,Elk,"Box Elder, Pilot Mtn",52,"Box Elder, Pilot Mtn EB3031 Sept. 13-Oct. 3"
EB3032,EB,Elk,"Cache, Meadowville",52,"Cache, Meadowville EB3032 Sept. 17-Sept. 21"
EB3036,EB,Elk,"Cache, South",52,"Cache, South EB3036 Sept. 17-Sept. 21"
EB3068,EB,Elk,Diamond Mtn,52,Diamond Mtn EB3068 Sept. 17-Sept. 21
EB3042,EB,Elk,"Fillmore, Pahvant",52,"Fillmore, Pahvant EB3042 Sept. 17-Sept. 21"
EB3063,EB,Elk,Fishlake/Thousand Lakes,52,Fishlake/Thousand Lakes EB3063 Sept. 17-Sept. 21
EB3045,EB,Elk,"La Sal, La Sal Mtns",52,"La Sal, La Sal Mtns EB3045 Sept. 17-Sept. 21"
EB3038,EB,Elk,Manti,52,Manti EB3038 Sept. 17-Sept. 21
EB3047,EB,Elk,Monroe,52,Monroe EB3047 Sept. 17-Sept. 21
EB3049,EB,Elk,Mt Dutton,52,Mt Dutton EB3049 Sept. 17-Sept. 21
EB3175,EB,Elk,Nebo/San Pitch Mtn,52,Nebo/San Pitch Mtn EB3175 Sept. 17-Sept. 21
EB3210,EB,Elk,"North Slope, Three Corners (new)",52,"North Slope, Three Corners (new) EB3210 Sept. 17-Sept. 21"
EB3056,EB,Elk,Panguitch Lake,52,Panguitch Lake EB3056 Sept. 17-Sept. 21
EB3066,EB,Elk,San Juan Bull Elk,52,San Juan Bull Elk EB3066 Sept. 17-Sept. 21
EB3149,EB,Elk,"Southwest Desert, South",52,"Southwest Desert, South EB3149 Sept. 17-Sept. 21"
EB3072,EB,Elk,Wasatch Mtns,52,Wasatch Mtns EB3072 Sept. 17-Sept. 21
EB3159,EB,Elk,"Beaver, East",53,"Beaver, East EB3159 Oct. 4-Oct. 16"
EB3164,EB,Elk,"Book Cliffs, Bitter Creek/East",53,"Book Cliffs, Bitter Creek/East EB3164 Oct. 4-Oct. 16"
EB3167,EB,Elk,"Book Cliffs, Little Creek Roadless",53,"Book Cliffs, Little Creek Roadless EB3167 Oct. 4-Oct. 16"
EB3191,EB,Elk,Boulder,53,Boulder EB3191 Oct. 4-Oct. 16
EB3150,EB,Elk,"Box Elder, Grouse Creek",53,"Box Elder, Grouse Creek EB3150 Oct. 4-Oct. 16"
EB3169,EB,Elk,"Cache, Meadowville",53,"Cache, Meadowville EB3169 Oct. 4-Oct. 16"
EB3171,EB,Elk,"Cache, South",53,"Cache, South EB3171 Oct. 4-Oct. 16"
EB3069,EB,Elk,Diamond Mtn,53,Diamond Mtn EB3069 Oct. 4-Oct. 16
EB3181,EB,Elk,"Fillmore, Pahvant",53,"Fillmore, Pahvant EB3181 Oct. 4-Oct. 16"
EB3064,EB,Elk,Fishlake/Thousand Lakes,53,Fishlake/Thousand Lakes EB3064 Oct. 4-Oct. 16
EB3183,EB,Elk,"La Sal, La Sal Mtns",53,"La Sal, La Sal Mtns EB3183 Oct. 4-Oct. 16"
EB3126,EB,Elk,Manti,53,Manti EB3126 Oct. 4-Oct. 16
EB3185,EB,Elk,Monroe,53,Monroe EB3185 Oct. 4-Oct. 16
EB3187,EB,Elk,Mt Dutton,53,Mt Dutton EB3187 Oct. 4-Oct. 16
EB3177,EB,Elk,Nebo/San Pitch Mtn,53,Nebo/San Pitch Mtn EB3177 Oct. 4-Oct. 16
EB3053,EB,Elk,"North Slope, Three Corners",53,"North Slope, Three Corners EB3053 Oct. 4-Oct. 16"
EB3189,EB,Elk,Panguitch Lake,53,Panguitch Lake EB3189 Oct. 4-Oct. 16
EB3194,EB,Elk,San Juan Bull Elk,53,San Juan Bull Elk EB3194 Oct. 4-Oct. 16
EB3198,EB,Elk,"Southwest Desert, South",53,"Southwest Desert, South EB3198 Oct. 4-Oct. 16"
EB3127,EB,Elk,Wasatch Mtns,53,Wasatch Mtns EB3127 Oct. 4-Oct. 16
EB3025,EB,Elk,"Beaver, East",54,"Beaver, East EB3025 Nov. 8-Nov. 16"
EB3163,EB,Elk,"Book Cliffs, Bitter Creek/East",54,"Book Cliffs, Bitter Creek/East EB3163 Nov. 8-Nov. 16"
EB3151,EB,Elk,Boulder,54,Boulder EB3151 Nov. 8-Nov. 16
EB3033,EB,Elk,"Cache, Meadowville",54,"Cache, Meadowville EB3033 Nov. 8-Nov. 16"
EB3037,EB,Elk,"Cache, South",54,"Cache, South EB3037 Nov. 8-Nov. 16"
EB3196,EB,Elk,Diamond Mtn,54,Diamond Mtn EB3196 Nov. 8-Nov. 16
EB3043,EB,Elk,"Fillmore, Pahvant",54,"Fillmore, Pahvant EB3043 Nov. 8-Nov. 16"
EB3065,EB,Elk,Fishlake/Thousand Lakes,54,Fishlake/Thousand Lakes EB3065 Nov. 8-Nov. 16
EB3044,EB,Elk,"La Sal, Dolores Triangle",54,"La Sal, Dolores Triangle EB3044 Dec. 6, 2025-"
EB3046,EB,Elk,"La Sal, La Sal Mtns",54,"La Sal, La Sal Mtns EB3046 Nov. 8-Nov. 16"
EB3039,EB,Elk,Manti,54,Manti EB3039 Nov. 8-Nov. 16
EB3048,EB,Elk,Monroe,54,Monroe EB3048 Nov. 8-Nov. 16
EB3208,EB,Elk,Morgan-South Rich (new),54,Morgan-South Rich (new) EB3208 Dec. 20-Dec. 28
EB3050,EB,Elk,Mt Dutton,54,Mt Dutton EB3050 Nov. 8-Nov. 16
EB3176,EB,Elk,Nebo/San Pitch Mtns,54,Nebo/San Pitch Mtns EB3176 Nov. 8-Nov. 16
EB3057,EB,Elk,Panguitch Lake,54,Panguitch Lake EB3057 Nov. 8-Nov. 16
EB3067,EB,Elk,San Juan Bull Elk,54,San Juan Bull Elk EB3067 Nov. 8-Nov. 16
EB3152,EB,Elk,"Southwest Desert, South",54,"Southwest Desert, South EB3152 Nov. 8-Nov. 16"
EB3073,EB,Elk,Wasatch Mtns,54,Wasatch Mtns EB3073 Nov. 8-Nov. 16
EB3077,EB,Elk,"Beaver, East",55,"Beaver, East EB3077 Sept. 22-Oct. 3"
EB3166,EB,Elk,"Book Cliffs, Bitter Creek/East",55,"Book Cliffs, Bitter Creek/East EB3166 Sept. 22-Oct. 3"
EB3079,EB,Elk,"Book Cliffs, Little Creek Roadless",55,"Book Cliffs, Little Creek Roadless EB3079 Sept. 22-Oct. 3"
EB3154,EB,Elk,Boulder,55,Boulder EB3154 Sept. 22-Oct. 3
EB3153,EB,Elk,"Box Elder, Grouse Creek",55,"Box Elder, Grouse Creek EB3153 Sept. 22-Oct. 3"
EB3081,EB,Elk,"Cache, Meadowville",55,"Cache, Meadowville EB3081 Sept. 22-Oct. 3"
EB3083,EB,Elk,"Cache, South",55,"Cache, South EB3083 Sept. 22-Oct. 3"
EB3098,EB,Elk,Diamond Mtn,55,Diamond Mtn EB3098 Sept. 22-Oct. 3
EB3086,EB,Elk,"Fillmore, Pahvant",55,"Fillmore, Pahvant EB3086 Sept. 22-Oct. 3"
EB3096,EB,Elk,Fishlake/Thousand Lakes,55,Fishlake/Thousand Lakes EB3096 Sept. 22-Oct. 3
EB3087,EB,Elk,"La Sal, La Sal Mtns",55,"La Sal, La Sal Mtns EB3087 Sept. 22-Oct. 3"
EB3084,EB,Elk,Manti,55,Manti EB3084 Sept. 22-Oct. 3
EB3088,EB,Elk,Monroe,55,Monroe EB3088 Sept. 22-Oct. 3
EB3089,EB,Elk,Mt Dutton,55,Mt Dutton EB3089 Sept. 22-Oct. 3
EB3179,EB,Elk,Nebo/San Pitch Mtns,55,Nebo/San Pitch Mtns EB3179 Sept. 22-Oct. 3
EB3091,EB,Elk,"North Slope, Three Corners",55,"North Slope, Three Corners EB3091 Sept. 22-Oct. 3"
EB3093,EB,Elk,Panguitch Lake,55,Panguitch Lake EB3093 Sept. 22-Oct. 3
EB3097,EB,Elk,San Juan Bull Elk,55,San Juan Bull Elk EB3097 Sept. 22-Oct. 3
EB3155,EB,Elk,"Southwest Desert, South",55,"Southwest Desert, South EB3155 Sept. 22-Oct. 3"
EB3100,EB,Elk,Wasatch Mtns,55,Wasatch Mtns EB3100 Sept. 22-Oct. 3
EB3102,EB,Elk,"Beaver, East",56,"Beaver, East EB3102 Limited-entry seasons"
EB3165,EB,Elk,"Book Cliffs, Bitter Creek/East",56,"Book Cliffs, Bitter Creek/East EB3165 Limited-entry seasons"
EB3104,EB,Elk,"Book Cliffs, Little Creek Roadless",56,"Book Cliffs, Little Creek Roadless EB3104 Limited-entry seasons"
EB3156,EB,Elk,Boulder,56,Boulder EB3156 Limited-entry seasons
EB3105,EB,Elk,"Cache, Meadowville",56,"Cache, Meadowville EB3105 Limited-entry seasons"
EB3107,EB,Elk,"Cache, South",56,"Cache, South EB3107 Limited-entry seasons"
EB3122,EB,Elk,Diamond Mtn,56,Diamond Mtn EB3122 Limited-entry seasons
EB3110,EB,Elk,"Fillmore, Pahvant",56,"Fillmore, Pahvant EB3110 Limited-entry seasons"
EB3120,EB,Elk,Fishlake/Thousand Lakes,56,Fishlake/Thousand Lakes EB3120 Limited-entry seasons
EB3111,EB,Elk,"La Sal, La Sal Mtns",56,"La Sal, La Sal Mtns EB3111 Limited-entry seasons"
EB3108,EB,Elk,Manti,56,Manti EB3108 Limited-entry seasons
EB3112,EB,Elk,Monroe,56,Monroe EB3112 Limited-entry seasons
EB3113,EB,Elk,Mt Dutton,56,Mt Dutton EB3113 Limited-entry seasons
EB3178,EB,Elk,Nebo/San Pitch Mtns,56,Nebo/San Pitch Mtns EB3178 Limited-entry seasons
EB3115,EB,Elk,"North Slope, Three Corners",56,"North Slope, Three Corners EB3115 Limited-entry seasons"
EB3117,EB,Elk,Panguitch Lake,56,Panguitch Lake EB3117 Limited-entry seasons
EB3121,EB,Elk,San Juan Bull Elk,56,San Juan Bull Elk EB3121 Limited-entry seasons
EB3157,EB,Elk,"Southwest Desert, South",56,"Southwest Desert, South EB3157 Limited-entry seasons"
EB3124,EB,Elk,Wasatch Mtns,56,Wasatch Mtns EB3124 Limited-entry seasons
PB5000,PB,Pronghorn,Beaver,57,Beaver PB5000 Aug. 16-Sept. 12
PB5001,PB,Pronghorn,"Book Cliffs, Bitter Creek",57,"Book Cliffs, Bitter Creek PB5001 Aug. 16-Sept. 12"
PB5002,PB,Pronghorn,"Book Cliffs, South",57,"Book Cliffs, South PB5002 Aug. 16-Sept. 12"
PB5003,PB,Pronghorn,"Box Elder, Promontory",57,"Box Elder, Promontory PB5003 Aug. 16-Sept. 12"
PB5004,PB,Pronghorn,"Box Elder, Puddle Valley",57,"Box Elder, Puddle Valley PB5004 Aug. 16-Sept. 12"
PB5005,PB,Pronghorn,"Box Elder, Snowville",57,"Box Elder, Snowville PB5005 Aug. 16-Sept. 12"
PB5006,PB,Pronghorn,"Box Elder, West",57,"Box Elder, West PB5006 Aug. 16-Sept. 12"
PB5074,PB,Pronghorn,"Cache, Rich",57,"Cache, Rich PB5074 Aug. 16-Sept. 12"
PB5016,PB,Pronghorn,Diamond Mtn/Bonanza,57,Diamond Mtn/Bonanza PB5016 Aug. 16-Sept. 12
PB5008,PB,Pronghorn,"Fillmore, Oak Creek South",57,"Fillmore, Oak Creek South PB5008 Aug. 16-Sept. 12"
PB5009,PB,Pronghorn,"La Sal, Potash/South Cisco",57,"La Sal, Potash/South Cisco PB5009 Aug. 16-Sept. 12"
PB5332,PB,Pronghorn,Mt Dutton/Paunsaugunt,57,Mt Dutton/Paunsaugunt PB5332 Aug. 16-Sept. 12
PB5011,PB,Pronghorn,"Nine Mile, Anthro-Myton Bench",57,"Nine Mile, Anthro-Myton Bench PB5011 Aug. 16-Sept. 12"
PB5053,PB,Pronghorn,"Nine Mile, Range Creek",57,"Nine Mile, Range Creek PB5053 Aug. 16-Sept. 12"
EB3142,EB,Elk,Barney Top/Kaiparowits,57,Barney Top/Kaiparowits EB3142 Nov. 8-Nov. 30
EB3139,EB,Elk,"Cache, North",57,"Cache, North EB3139 Nov. 8-Nov. 30"
EB3205,EB,Elk,East Canyon (new),57,East Canyon (new) EB3205 Dec. 20-Dec 28
EB3143,EB,Elk,"Southwest Desert, North",57,"Southwest Desert, North EB3143 Nov. 8-Nov. 30"
EB3144,EB,Elk,"West Desert, Deep Creek",57,"West Desert, Deep Creek EB3144 Nov. 8-Nov. 30"
PB5012,PB,Pronghorn,"North Slope, Three Corners/West Daggett",58,"North Slope, Three Corners/West Daggett PB5012 Aug. 16-Sept. 12"
PB5054,PB,Pronghorn,"Panguitch Lake/Zion, North",58,"Panguitch Lake/Zion, North PB5054 Aug. 16-Sept. 12"
PB5077,PB,Pronghorn,Parker Mtn,58,Parker Mtn PB5077 Aug. 16-Sept. 12
PB5013,PB,Pronghorn,Pine Valley,58,Pine Valley PB5013 Aug. 16-Sept. 12
PB5055,PB,Pronghorn,"San Rafael, Desert",58,"San Rafael, Desert PB5055 Aug. 16-Sept. 12"
PB5015,PB,Pronghorn,"San Rafael, North",58,"San Rafael, North PB5015 Aug. 16-Sept. 12"
PB5018,PB,Pronghorn,Southwest Desert,58,Southwest Desert PB5018 Aug. 16-Sept. 12
PB5017,PB,Pronghorn,Vernal,58,Vernal PB5017 Aug. 16-Sept. 12
PB5019,PB,Pronghorn,"West Desert, Riverbed",58,"West Desert, Riverbed PB5019 Aug. 16-Sept. 12"
PB5020,PB,Pronghorn,"West Desert, Rush Valley",58,"West Desert, Rush Valley PB5020 Aug. 16-Sept. 12"
PB5021,PB,Pronghorn,"West Desert, Snake Valley",58,"West Desert, Snake Valley PB5021 Aug. 16-Sept. 12"
PB5080,PB,Pronghorn,"Box Elder, Snowville (new)",58,"Box Elder, Snowville (new) PB5080 Sept. 24-Oct. 2"
PB5079,PB,Pronghorn,"Box Elder, West (new)",58,"Box Elder, West (new) PB5079 Sept. 24-Oct. 2"
PB5075,PB,Pronghorn,"Cache, Rich",58,"Cache, Rich PB5075 Sept. 24-Oct. 2"
PB5060,PB,Pronghorn,Diamond Mtn/Bonanza,58,Diamond Mtn/Bonanza PB5060 Sept. 24-Oct. 2
PB5065,PB,Pronghorn,"Fillmore, Oak Creek South",58,"Fillmore, Oak Creek South PB5065 Sept. 24-Oct. 2"
PB5059,PB,Pronghorn,"Nine Mile, Anthro-Myton Bench",58,"Nine Mile, Anthro-Myton Bench PB5059 Sept. 24-Oct. 2"
PB5066,PB,Pronghorn,"North Slope, Three Corners/West Daggett",58,"North Slope, Three Corners/West Daggett PB5066 Sept. 24-Oct. 2"
PB5061,PB,Pronghorn,"Panguitch Lake/Zion, North",58,"Panguitch Lake/Zion, North PB5061 Sept. 24-Oct. 2"
PB5078,PB,Pronghorn,Parker Mtn,58,Parker Mtn PB5078 Sept. 24-Oct. 2
PB5062,PB,Pronghorn,Pine Valley,58,Pine Valley PB5062 Sept. 24-Oct. 2
PB5056,PB,Pronghorn,"San Rafael, North",58,"San Rafael, North PB5056 Sept. 24-Oct. 2"
PB5024,PB,Pronghorn,Southwest Desert,58,Southwest Desert PB5024 Sept. 24-Oct. 2
PB5072,PB,Pronghorn,Vernal,58,Vernal PB5072 Sept. 24-Oct. 2
PB5025,PB,Pronghorn,Beaver,59,Beaver PB5025 Sept. 13-Sept. 21
PB5026,PB,Pronghorn,"Book Cliffs, Bitter Creek",59,"Book Cliffs, Bitter Creek PB5026 Sept. 13-Sept. 21"
PB5027,PB,Pronghorn,"Book Cliffs, South",59,"Book Cliffs, South PB5027 Sept. 13-Sept. 21"
PB5028,PB,Pronghorn,"Box Elder, Promontory",59,"Box Elder, Promontory PB5028 Sept. 13-Sept. 21"
PB5029,PB,Pronghorn,"Box Elder, Puddle Valley",59,"Box Elder, Puddle Valley PB5029 Sept. 13-Sept. 21"
PB5030,PB,Pronghorn,"Box Elder, Snowville",59,"Box Elder, Snowville PB5030 Sept. 13-Sept. 21"
PB5031,PB,Pronghorn,"Box Elder, West",59,"Box Elder, West PB5031 Sept. 13-Sept. 21"
PB5073,PB,Pronghorn,"Cache, Rich",59,"Cache, Rich PB5073 Sept. 13-Sept. 21"
PB5047,PB,Pronghorn,Diamond Mtn/Bonanza,59,Diamond Mtn/Bonanza PB5047 Sept. 13-Sept. 21
PB5033,PB,Pronghorn,"Fillmore, Oak Creek South",59,"Fillmore, Oak Creek South PB5033 Sept. 13-Sept. 21"
PB5034,PB,Pronghorn,Kaiparowits,59,Kaiparowits PB5034 Sept. 13-Sept. 21
PB5035,PB,Pronghorn,"La Sal, Potash/South Cisco",59,"La Sal, Potash/South Cisco PB5035 Sept. 13-Sept. 21"
PB5331,PB,Pronghorn,Mt Dutton/Paunsaugunt,59,Mt Dutton/Paunsaugunt PB5331 Sept. 13-Sept. 21
PB5037,PB,Pronghorn,"Nine Mile, Anthro-Myton Bench",59,"Nine Mile, Anthro-Myton Bench PB5037 Sept. 13-Sept. 21"
PB5038,PB,Pronghorn,"Nine Mile, Range Creek",59,"Nine Mile, Range Creek PB5038 Sept. 13-Sept. 21"
PB5039,PB,Pronghorn,"North Slope, Summit",59,"North Slope, Summit PB5039 Sept. 13-Sept. 21"
PB5040,PB,Pronghorn,"North Slope, Three Corners/West Daggett",59,"North Slope, Three Corners/West Daggett PB5040 Sept. 13-Sept. 21"
PB5041,PB,Pronghorn,"Panguitch Lake/Zion, North",59,"Panguitch Lake/Zion, North PB5041 Sept. 13-Sept. 21"
PB5076,PB,Pronghorn,Parker Mtn,59,Parker Mtn PB5076 Sept. 13-Sept. 21
PB5042,PB,Pronghorn,Pine Valley,59,Pine Valley PB5042 Sept. 13-Sept. 21
PB5044,PB,Pronghorn,"San Juan, Hatch Point",59,"San Juan, Hatch Point PB5044 Sept. 13-Sept. 21"
PB5045,PB,Pronghorn,"San Rafael, Desert",59,"San Rafael, Desert PB5045 Sept. 13-Sept. 21"
PB5046,PB,Pronghorn,"San Rafael, North",59,"San Rafael, North PB5046 Sept. 13-Sept. 21"
PB5049,PB,Pronghorn,Southwest Desert,59,Southwest Desert PB5049 Sept. 13-Sept. 21
MB6012,MB,Moose,Box Elder (new),60,Box Elder (new) MB6012 Sept. 13-Oct. 31
MB6000,MB,Moose,Cache,60,Cache MB6000 Sept. 13-Oct. 31
MB6001,MB,Moose,Chalk Creek,60,Chalk Creek MB6001 Sept. 13-Oct. 31
MB6009,MB,Moose,Diamond Mtn/Vernal,60,Diamond Mtn/Vernal MB6009 Sept. 13-Oct. 31
MB6002,MB,Moose,East Canyon,60,East Canyon MB6002 Sept. 13-Oct. 31
MB6003,MB,Moose,"East Canyon, Morgan-Summit",60,"East Canyon, Morgan-Summit MB6003 Sept. 13-Oct. 31"
MB6004,MB,Moose,Kamas,60,Kamas MB6004 Sept. 13-Oct. 31
MB6005,MB,Moose,Morgan-South Rich,60,Morgan-South Rich MB6005 Sept. 13-Oct. 31
MB6006,MB,Moose,"North Slope, Summit",60,"North Slope, Summit MB6006 Sept. 13-Oct. 31"
MB6007,MB,Moose,"North Slope, Three Corners/West Daggett",60,"North Slope, Three Corners/West Daggett MB6007 Sept. 13-Oct. 31"
MB6008,MB,Moose,Ogden,60,Ogden MB6008 Sept. 13-Oct. 31
MB6011,MB,Moose,Wasatch Mtns/Central Mtns,60,Wasatch Mtns/Central Mtns MB6011 Sept. 13-Oct. 31
MB6010,MB,Moose,Yellowstone,60,Yellowstone MB6010 Sept. 13-Oct. 31
PB5048,PB,Pronghorn,Vernal,60,Vernal PB5048 Sept. 13-Sept. 21
PB5050,PB,Pronghorn,"West Desert, Riverbed",60,"West Desert, Riverbed PB5050 Sept. 13-Sept. 21"
PB5051,PB,Pronghorn,"West Desert, Rush Valley",60,"West Desert, Rush Valley PB5051 Sept. 13-Sept. 21"
PB5052,PB,Pronghorn,"West Desert, Snake Valley",60,"West Desert, Snake Valley PB5052 Sept. 13-Sept. 21"
BI6534,BI,Bison,"Book Cliffs, Bitter Creek",61,"Book Cliffs, Bitter Creek BI6534 Sept. 13-Sept. 21"
BI6535,BI,Bison,"Book Cliffs, Bitter Creek",61,"Book Cliffs, Bitter Creek BI6535 Oct. 4-Oct. 16"
BI6531,BI,Bison,"Book Cliffs, Little Creek/South",61,"Book Cliffs, Little Creek/South BI6531 Sept. 22-Oct. 03"
BI6537,BI,Bison,"Book Cliffs, Little Creek/South",61,"Book Cliffs, Little Creek/South BI6537 Nov. 8, 2025-Jan. 31, 2026"
BI6503,BI,Bison,Henry Mtns,61,Henry Mtns BI6503 Nov. 1-Nov. 12
BI6504,BI,Bison,Henry Mtns,61,Henry Mtns BI6504 Nov. 15-Nov. 26
BI6516,BI,Bison,Henry Mtns,61,Henry Mtns BI6516 Nov. 29-Dec. 10
BI6500,BI,Bison,Antelope Island,61,Antelope Island BI6500 Dec. 1-Dec. 3
BI6536,BI,Bison,"Book Cliffs, Bitter Creek",61,"Book Cliffs, Bitter Creek BI6536 Nov. 15-Nov. 30"
BI6529,BI,Bison,"Book Cliffs, Little Creek/South",61,"Book Cliffs, Little Creek/South BI6529 Oct. 18-Oct. 28"
BI6505,BI,Bison,Henry Mtns,61,Henry Mtns BI6505 Dec. 13-Dec. 24
BI6506,BI,Bison,Henry Mtns,61,"Henry Mtns BI6506 Dec. 27, 2025-Jan. 13, 2026"
BI6532,BI,Bison,"Book Cliffs, Bitter Creek",61,"Book Cliffs, Bitter Creek BI6532 Aug. 16-Sept. 12"
BI6528,BI,Bison,"Book Cliffs, Little Creek/South",61,"Book Cliffs, Little Creek/South BI6528 Aug. 16-Sept. 12"
BI6509,BI,Bison,Henry Mtns,61,"Henry Mtns BI6509 Jan. 14-Jan. 31, 2026"
DS6626,DS,Desert Bighorn Sheep,"Escalante, East (new)",62,"Escalante, East (new) DS6626 Sept. 13-Nov. 10"
DS6627,DS,Desert Bighorn Sheep,"Escalante, West (new)",62,"Escalante, West (new) DS6627 Sept. 13-Nov. 10"
DS6600,DS,Desert Bighorn Sheep,Henry Mtns,62,Henry Mtns DS6600 Sept. 13-Nov. 10
DS6601,DS,Desert Bighorn Sheep,"Kaiparowits, East",62,"Kaiparowits, East DS6601 Sept. 13-Nov. 10"
DS6603,DS,Desert Bighorn Sheep,"Kaiparowits, West",62,"Kaiparowits, West DS6603 Sept. 13-Nov. 10"
DS6604,DS,Desert Bighorn Sheep,"La Sal, Potash/South Cisco",62,"La Sal, Potash/South Cisco DS6604 Sept. 13-Nov. 10"
DS6625,DS,Desert Bighorn Sheep,Mineral Mtns,62,Mineral Mtns DS6625 Sept. 13-Nov. 10
DS6621,DS,Desert Bighorn Sheep,"Pine Valley, Beaver Dam",62,"Pine Valley, Beaver Dam DS6621 Oct. 25-Dec. 26"
DS6620,DS,Desert Bighorn Sheep,"Pine Valley, Virgin River",62,"Pine Valley, Virgin River DS6620 Oct. 25-Dec. 26"
DS6606,DS,Desert Bighorn Sheep,"San Juan, Lockhart",62,"San Juan, Lockhart DS6606 Sept. 13-Nov. 10"
DS6622,DS,Desert Bighorn Sheep,"San Juan, North",62,"San Juan, North DS6622 Sept. 13-Nov. 10"
DS6623,DS,Desert Bighorn Sheep,"San Juan, San Juan River",62,"San Juan, San Juan River DS6623 Sept. 13-Nov. 10"
DS6607,DS,Desert Bighorn Sheep,"San Juan, South",62,"San Juan, South DS6607 Sept. 13-Nov. 10"
DS6608,DS,Desert Bighorn Sheep,"San Rafael, Dirty Devil",62,"San Rafael, Dirty Devil* DS6608 Sept. 13-Nov. 10"
DS6609,DS,Desert Bighorn Sheep,"San Rafael, North",62,"San Rafael, North DS6609 Sept. 13-Nov. 10"
