file,status,rows,headers,unique_hunt_codes,possible_hunt_codes,codes_in_active_database,codes_not_in_active_database,new_codes_vs_core_harvest,new_active_codes_vs_core_harvest,codes_overlap_draw_2023,classification,useful_fields,sample_new_codes_vs_core,sample_headers
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,present,225,15,225,0,209,16,225,209,183,additive_hunt_code_keyed_positional_normalized,reported_hunt_year|model_target_year|permits|harvest_hunters|harvest|harvest_success_percent|harvest_average_days|source_file|do_not_use_for_permit_quota,DA1001|DA1002|DA1003|DA1009|DA1011|DA1012|DA1013|DA1018|DA1027|DA1030|DA1031|DA1033|DA1041|DA1042|DA1044|DA1045|DA1046|DA1047|DA1048|DA1049|DA1050|EA1010|EA1011|EA1012|EA1013,reported_hunt_year|model_target_year|species|hunt_code|hunt_name|weapon|permits|harvest_hunters|harvest|harvest_success_percent|harvest_average_days|source_file|parse_status|do_not_use_for_permit_quota|do_not_use_for_p_draw_directly
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_location_hunt_code_crosswalk_2023_bighorn_sheep.csv,present,138,14,3,19,3,0,0,0,3,supporting_quality_crosswalk_or_measurement,reported_hunt_year,,reported_hunt_year|species|measurement_record_no|location_of_kill|normalized_location|matched_unit_name|matched_hunt_name|matched_species|possible_hunt_codes|selected_hunt_code|match_status|match_confidence|match_method|notes
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_bighorn_by_hunt_code_2023.csv,present,30,18,30,0,29,1,0,0,30,covered_core_keyed_or_duplicate,reported_hunt_year|model_target_year|permits|harvest_hunters|harvest|harvest_average_days|harvest_success_percent|harvest_satisfaction|source_file|source_page|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|hunt_code|species|hunt_name|hunt_type|weapon|permits|harvest_hunters|harvest|harvest_average_days|harvest_success_percent|harvest_satisfaction|source_file|source_page|parse_status|do_not_use_for_permit_quota|do_not_use_for_p_draw_directly
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv,present,592,18,592,0,543,49,0,0,579,covered_core_keyed_or_duplicate,reported_hunt_year|model_target_year|permits|harvest_hunters|harvest|harvest_average_days|harvest_success_percent|harvest_satisfaction|source_file|source_page|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|hunt_code|species|hunt_name|hunt_type|weapon|permits|harvest_hunters|harvest|harvest_average_days|harvest_success_percent|harvest_satisfaction|source_file|source_page|parse_status|do_not_use_for_permit_quota|do_not_use_for_p_draw_directly
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv,present,1193,18,1030,0,920,110,438,377,965,additive_hunt_code_keyed,reported_hunt_year|model_target_year|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|source_file|source_page,BR7000|BR7001|BR7003|BR7004|BR7005|BR7007|BR7008|BR7009|BR7010|BR7011|BR7012|BR7013|BR7014|BR7015|BR7016|BR7017|BR7018|BR7019|BR7020|BR7100|BR7101|BR7102|BR7104|BR7105|BR7106,reported_hunt_year|model_target_year|input_family|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|source_file|source_page|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv,present,592,18,592,0,543,49,0,0,579,covered_core_keyed_or_duplicate,reported_hunt_year|model_target_year|permits|harvest_hunters_2023|harvest_2023|harvest_average_days_2023|harvest_success_percent_2023|harvest_satisfaction_2023|harvest_source_status_2023|harvest_database_match_status_2023|harvest_quality_flags_2023|source_file|source_page,,hunt_code|reported_hunt_year|model_target_year|species|hunt_name|hunt_type|weapon|permits|harvest_hunters_2023|harvest_2023|harvest_average_days_2023|harvest_success_percent_2023|harvest_satisfaction_2023|harvest_source_status_2023|harvest_database_match_status_2023|harvest_quality_flags_2023|source_file|source_page
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv,present,592,29,592,0,543,49,0,0,579,covered_core_keyed_or_duplicate,reported_hunt_year|model_target_year|source_class|page_title|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|source_file|source_file_sha256|source_page|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_class|species|page_title|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|data_granularity|source_file|source_file_sha256|source_page|parse_status|harvest_quality_year|quality_feature_status|trend_feature_eligible|trend_feature_note|quota_use_status|draw_probability_use_status|do_not_use_for_permit_quota|do_not_use_for_p_draw_directly|raw_record
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_antlerless.csv,present,199,20,199,0,173,26,199,173,196,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction,DA1001|DA1002|DA1003|DA1009|DA1011|DA1012|DA1013|DA1018|DA1027|DA1030|DA1031|DA1033|DA1041|DA1042|DA1044|DA1045|DA1046|DA1047|DA1048|DA1049|EA1009|EA1010|EA1011|EA1012|EA1013,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_ANTLERLESS_DEER_all_sources.csv,present,17,48,17,0,16,1,17,16,17,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,DA1001|DA1002|DA1003|DA1009|DA1018|DA1027|DA1030|DA1031|DA1033|DA1041|DA1042|DA1044|DA1045|DA1046|DA1047|DA1048|DA1049,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_ANTLERLESS_ELK_all_sources.csv,present,106,48,106,0,91,15,106,91,103,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,EA1009|EA1010|EA1011|EA1012|EA1013|EA1015|EA1017|EA1018|EA1020|EA1021|EA1022|EA1023|EA1024|EA1025|EA1026|EA1030|EA1031|EA1033|EA1035|EA1037|EA1038|EA1039|EA1040|EA1044|EA1049,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_ANTLERLESS_MOOSE_all_sources.csv,present,3,48,3,0,1,2,3,1,3,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,MA1000|MA1005|MA1006,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_bighorn_measurements.csv,present,43,21,0,0,0,0,0,0,0,supporting_quality_crosswalk_or_measurement,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|days_hunted|hunter_satisfaction|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep,,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|location_of_kill|days_hunted|wound|hunter_satisfaction|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BIGHORN_SHEEP_all_sources.csv,present,43,48,0,0,0,0,0,0,0,alternate_source_or_validation_support,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_bighorn_sheep_hunt_success_aggregate.csv,present,30,23,30,0,29,1,0,0,30,covered_core_keyed_or_duplicate,reported_hunt_year|model_target_year|source_class|page_title|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|source_file|source_file_sha256|source_page|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_class|species|page_title|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|data_granularity|source_file|source_file_sha256|source_page|parse_status|do_not_use_for_permit_quota|do_not_use_for_p_draw_directly|raw_record
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_bighorn_sheep_measurements_crosswalked.csv,present,138,38,3,19,3,0,0,0,3,supporting_quality_crosswalk_or_measurement,reported_hunt_year|model_target_year|source_class|days_hunted|hunter_satisfaction|horn_length_left_raw|horn_length_left_decimal|horn_length_right_raw|horn_length_right_decimal|base_circumference_left_raw|base_circumference_left_decimal|base_circumference_right_raw|base_circumference_right_decimal|age_of_sheep_raw|age_of_sheep_decimal|source_file|source_file_sha256|source_page|source_row_id|data_quality_flags,,record_no|reported_hunt_year|model_target_year|source_class|species|sheep_type|hunt_code|selected_hunt_code|possible_hunt_codes|matched_hunt_name|matched_species|matched_unit_name|unit_crosswalk_status|unit_crosswalk_confidence|unit_crosswalk_method|unit_crosswalk_notes|database_match_status|location_of_kill|days_hunted|wound|hunter_satisfaction|horn_length_left_raw|horn_length_left_decimal|horn_length_right_raw|horn_length_right_decimal|base_circumference_left_raw|base_circumference_left_decimal|base_circumference_right_raw|base_circumference_right_decimal|age_of_sheep_raw
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_bighorn_unit_dates.csv,present,137,22,46,0,39,7,16,10,30,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|date_harvested|harvest|permits|hunters_afield|percent_success|average_days|hunter_satisfaction,DS1000|DS1001|DS1002|DS1003|DS1004|DS1005|DS1006|DS1007|RS0001|RS1001|RS1002|RS1003|RS1004|RS1005|RS1006|RS1007,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|date_inspected|date_harvested|harvest|permits|hunters_afield|percent_success|average_days|hunter_satisfaction|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv,present,18,48,18,0,15,3,0,0,17,alternate_source_or_validation_support,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv,present,18,29,18,0,15,3,0,0,17,covered_core_keyed_or_duplicate,reported_hunt_year|model_target_year|source_class|page_title|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|source_file|source_file_sha256|source_page|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_class|species|page_title|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|data_granularity|source_file|source_file_sha256|source_page|parse_status|harvest_quality_year|quality_feature_status|trend_feature_eligible|trend_feature_note|quota_use_status|draw_probability_use_status|do_not_use_for_permit_quota|do_not_use_for_p_draw_directly|raw_record
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_black_bear.csv,present,109,22,87,0,83,4,87,83,86,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|male_harvest|female_harvest|average_days|percent_success|hunter_satisfaction,BR7000|BR7001|BR7003|BR7004|BR7005|BR7007|BR7008|BR7009|BR7010|BR7011|BR7012|BR7013|BR7014|BR7015|BR7016|BR7017|BR7018|BR7019|BR7020|BR7100|BR7101|BR7102|BR7104|BR7105|BR7106,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|male_harvest|female_harvest|average_days|percent_success|hunter_satisfaction|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BLACK_BEAR_all_sources.csv,present,109,48,87,0,83,4,87,83,86,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,BR7000|BR7001|BR7003|BR7004|BR7005|BR7007|BR7008|BR7009|BR7010|BR7011|BR7012|BR7013|BR7014|BR7015|BR7016|BR7017|BR7018|BR7019|BR7020|BR7100|BR7101|BR7102|BR7104|BR7105|BR7106,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_cougar.csv,present,53,26,0,0,0,0,0,0,0,needs_normalization_no_hunt_code,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|harvest_objective|hunters_afield|harvest|male_harvest|female_harvest|average_age|average_days|percent_success|hunter_satisfaction,,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|harvest_objective|hunters_afield|harvest|male_harvest|female_harvest|average_age|percent_female|percent_5yr_plus|average_days|percent_success|hunter_satisfaction|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_COUGAR_all_sources.csv,present,53,48,0,0,0,0,0,0,0,alternate_source_or_validation_support,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_CWMU_ANTLERLESS_DEER_all_sources.csv,present,3,48,3,0,3,0,3,3,3,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,DA1011|DA1012|DA1013,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_CWMU_ANTLERLESS_ELK_all_sources.csv,present,59,48,59,0,54,5,59,54,59,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,EA1118|EA1119|EA1120|EA1121|EA1122|EA1124|EA1125|EA1126|EA1129|EA1130|EA1131|EA1132|EA1134|EA1135|EA1136|EA1137|EA1138|EA1139|EA1140|EA1141|EA1142|EA1143|EA1144|EA1145|EA1146,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
